,data 0,data 1,data 2,data 3,data 4,data 5,data 6
319,Canadian Broadcasting Corporation,"93-year-old London , Ont. , runner breaks Canadian record , shows signs slowing",0.0,1.0,0.0,0.0,Neutral
320,Fox News,& # 8216 ; Maybe send message coach & # 8217 ; — Mike Pereira Bowling Green & # 8217 ; coach ejection,0.0,1.0,0.0,0.0,Neutral
321,Fox News,Kevin Owens challenges Big E Raw Championship Match,0.0,0.543,0.457,0.4939,Positive
322,Fox News,Astros force Game 7 ? FOX BET LIVE,0.0,1.0,0.0,0.0,Neutral
323,Fox News,Mike Pereira Dean Blandino agree helmet-to-helmet call Jets-Bengals bad | Last Call,0.233,0.6,0.167,-0.25,Neutral
324,Fox News,Mike Pereira : horse collar flag Jameis Winston & # 8217 ; injury right call Last Call,0.189,0.811,0.0,-0.4215,Negative
325,Fox News,Dr. Matt Provencher & # 8217 ; prognosis Derrick Henry & # 8217 ; potential season-ending foot injury NFL FOX,0.177,0.823,0.0,-0.4215,Negative
326,Fox News,& # 8216 ; Jameis Winston & # 8217 ; ACL definitely need reconstructed & # 8217 ; — Dr. Matt Provencher NFL FOX,0.0,0.828,0.172,0.4019,Positive
327,Fox News,Von Wagner & Kyle O'Reilly settle debate Legado Del Fantasma ring,0.0,1.0,0.0,0.0,Neutral
328,Fox News,Clay Travis likes Chiefs cover big number vs. Giants FOX BET LIVE,0.0,0.709,0.291,0.4767,Positive
329,Fox News,Marcellus Wiley explains Baker Mayfield & # 8217 ; lack production hurting Browns SPEAK,0.357,0.643,0.0,-0.6124,Negative
330,Canadian Television Network,"Bettman apologizes Beach , defends NHL wake sexual assault allegations",0.286,0.526,0.188,-0.3182,Negative
331,Canadian Television Network,NHLPA votes investigation union handled Kyle Beach 's allegations,0.0,1.0,0.0,0.0,Neutral
332,Canadian Television Network,Canada stuns holders France Billie Jean King Cup finals kick,0.0,0.891,0.109,0.0258,Neutral
333,Canadian Television Network,FIFA wraps second set visits potential World Cup hosts,0.0,1.0,0.0,0.0,Neutral
334,Canadian Television Network,Braves look finish Astros Game 5 World Series,0.0,0.674,0.326,0.4404,Positive
335,Canadian Television Network,Trump participates 'Tomahawk chop ' World Series game,0.0,1.0,0.0,0.0,Neutral
336,Canadian Television Network,Ravens LB Malik Harrison struck stray bullet Cleveland,0.222,0.778,0.0,-0.25,Neutral
337,Canadian Television Network,"NHL concludes Bill Peters investigation , Akim Aliu 's lawyer casts doubt",0.2,0.8,0.0,-0.3612,Negative
338,Canadian Television Network,International Handball Federation allow women wear shorts instead 'sexist ' bikini bottoms,0.0,0.84,0.16,0.2263,Neutral
339,Canadian Television Network,Barcelona star Sergio Aguero admitted hospital 'cardiac exam ' chest pain match,0.241,0.657,0.102,-0.4404,Negative
340,Canadian Television Network,"Jerry Remy , Boston Red Sox player broadcaster , dies",0.0,1.0,0.0,0.0,Neutral
341,Canadian Television Network,Crystal Palace soccer player Zaha critical Instagram racism,0.516,0.484,0.0,-0.7506,Negative
342,Canadian Television Network,"NHL commissioner meets Kyle Beach , offers league 's help",0.0,0.748,0.252,0.4019,Positive
343,Canadian Television Network,NHL says discipline Jets GM Kevin Cheveldayoff Blackhawks sexual assault investigation,0.275,0.725,0.0,-0.5859,Negative
344,Canadian Television Network,'Real consequences : ' Former NHL player Georges Laraque needs happen make change league,0.0,1.0,0.0,0.0,Neutral
345,Canadian Television Network,Blackhawks ' sponsorships could take hit without proper response sex assault allegation,0.275,0.725,0.0,-0.5859,Negative
346,Canadian Television Network,Blackhawks ask Hall Fame cover assistant 's name Cup,0.0,0.734,0.266,0.4404,Positive
347,Canadian Television Network,Minnesota man charged hacking MLB trying extort league,0.205,0.795,0.0,-0.2023,Neutral
348,Global News,"Anunoby career-best 36 , Raptors beat Knicks",0.0,1.0,0.0,0.0,Neutral
349,Global News,"Bettman says Kyle Beach claims left ‘ distressed , ’ stands $ 2M Blackhawks fine",0.206,0.662,0.132,-0.25,Neutral
350,Global News,Knicks play Raptors 3-game win streak,0.0,0.392,0.608,0.7351,Positive
351,Global News,Barnes leads Raptors past Pacers,0.0,1.0,0.0,0.0,Neutral
352,Global News,Meet B.C . artist behind UNBC ’ Indigenous athletics logo — first Canada,0.0,1.0,0.0,0.0,Neutral
353,Global News,Kyle Beach offered NHL ’ help meeting league ’ commissioner,0.0,0.722,0.278,0.4019,Positive
354,Global News,Raptors hang 110-109 win Magic,0.0,0.513,0.487,0.5859,Positive
355,Global News,MLS launches independent probe Whitecaps ’ sexual misconduct allegations,0.0,1.0,0.0,0.0,Neutral
356,Global News,Blackhawks owner asks Hall Fame cover Brad Aldrich ’ name Stanley Cup,0.0,0.775,0.225,0.4404,Positive
357,Global News,"Winnipeg Jets GM Cheveldayoff bears responsibility Blackhawks scandal , NHL says",0.244,0.756,0.0,-0.4404,Negative
358,Canadian Broadcasting Corporation,"Bettman apologizes Kyle Beach , defends NHL wake sexual assault allegations",0.266,0.559,0.175,-0.3182,Negative
359,Canadian Broadcasting Corporation,Olympic stock watch : 's 's road Beijing,0.0,1.0,0.0,0.0,Neutral
360,Canadian Broadcasting Corporation,NHL 's apology n't make lack responsibility Chicago scandal,0.24,0.497,0.262,-0.1872,Neutral
361,Canadian Broadcasting Corporation,"Karina LeBlanc named GM NWSL Thorns , reuniting ex-Canadian keeper Sinclair",0.0,1.0,0.0,0.0,Neutral
362,Canadian Broadcasting Corporation,Canada upsets defending champion France Billie Jean King Cup,0.187,0.522,0.291,0.34,Positive
363,Canadian Broadcasting Corporation,"Canucks defenceman Travis Hamonic double vaccinated 'soon , ' says head coach",0.0,0.865,0.135,0.1027,Neutral
364,Canadian Broadcasting Corporation,"NHL concludes Bill Peters investigation , Akim Aliu 's lawyer casts doubt",0.2,0.8,0.0,-0.3612,Negative
365,Canadian Broadcasting Corporation,Anunoby 's career night lifts Raptors past Knicks pick 4th-straight win,0.0,0.725,0.275,0.5859,Positive
366,Canadian Broadcasting Corporation,Kane 's hat trick lifts Chicago convincing 1st win season Senators,0.076,0.51,0.414,0.743,Positive
367,Canadian Broadcasting Corporation,Canadian women hang defeat U.S. 1st rugby test match almost 2 years,0.231,0.769,0.0,-0.4588,Negative
368,Canadian Broadcasting Corporation,Bikini rule changed beach handball Norwegian player protest,0.222,0.778,0.0,-0.25,Neutral
369,Canadian Broadcasting Corporation,Horgan defeats Howard earn final spot Canadian Olympic curling trials,0.204,0.796,0.0,-0.3182,Negative
370,Canadian Broadcasting Corporation,Canadiens ' Cedric Paquette suspended 2 games boarding Trevor Zegras,0.307,0.693,0.0,-0.4767,Negative
371,Canadian Broadcasting Corporation,Elks sign recently acquired quarterback Nick Arbuckle 1-year contract,0.0,1.0,0.0,0.0,Neutral
372,Canadian Broadcasting Corporation,Skate Canada event provides Canadian high performance director 'good takeaways ',0.0,0.756,0.244,0.4404,Positive
373,Canadian Broadcasting Corporation,"Patrick Kane cleared COVID-19 protocol , returns Chicago lineup",0.0,0.833,0.167,0.1027,Neutral
374,Canadian Broadcasting Corporation,Canadian men 's short track relay team wins gold Japan,0.0,0.709,0.291,0.5719,Positive
375,Canadian Broadcasting Corporation,Kyle Beach reportedly meet Chicago NHL team officials Tuesday,0.0,1.0,0.0,0.0,Neutral
376,Canadian Broadcasting Corporation,Canadian Fleming helps lead Chelsea women 's FA Cup final,0.0,0.776,0.224,0.3818,Positive
377,Canadian Broadcasting Corporation,"93-year-old London , Ont. , runner breaks Canadian record , shows signs slowing",0.0,1.0,0.0,0.0,Neutral
378,Fox News,& # 8216 ; Maybe send message coach & # 8217 ; — Mike Pereira Bowling Green & # 8217 ; coach ejection,0.0,1.0,0.0,0.0,Neutral
379,Fox News,Kevin Owens challenges Big E Raw Championship Match,0.0,0.543,0.457,0.4939,Positive
380,Fox News,Astros force Game 7 ? FOX BET LIVE,0.0,1.0,0.0,0.0,Neutral
381,Fox News,Mike Pereira Dean Blandino agree helmet-to-helmet call Jets-Bengals bad | Last Call,0.233,0.6,0.167,-0.25,Neutral
382,Fox News,Mike Pereira : horse collar flag Jameis Winston & # 8217 ; injury right call Last Call,0.189,0.811,0.0,-0.4215,Negative
383,Fox News,Dr. Matt Provencher & # 8217 ; prognosis Derrick Henry & # 8217 ; potential season-ending foot injury NFL FOX,0.177,0.823,0.0,-0.4215,Negative
384,Fox News,& # 8216 ; Jameis Winston & # 8217 ; ACL definitely need reconstructed & # 8217 ; — Dr. Matt Provencher NFL FOX,0.0,0.828,0.172,0.4019,Positive
385,Fox News,Von Wagner & Kyle O'Reilly settle debate Legado Del Fantasma ring,0.0,1.0,0.0,0.0,Neutral
386,Fox News,Clay Travis likes Chiefs cover big number vs. Giants FOX BET LIVE,0.0,0.709,0.291,0.4767,Positive
387,Fox News,Marcellus Wiley explains Baker Mayfield & # 8217 ; lack production hurting Browns SPEAK,0.357,0.643,0.0,-0.6124,Negative
388,Canadian Television Network,"Bettman apologizes Beach , defends NHL wake sexual assault allegations",0.286,0.526,0.188,-0.3182,Negative
389,Canadian Television Network,NHLPA votes investigation union handled Kyle Beach 's allegations,0.0,1.0,0.0,0.0,Neutral
390,Canadian Television Network,Canada stuns holders France Billie Jean King Cup finals kick,0.0,0.891,0.109,0.0258,Neutral
391,Canadian Television Network,FIFA wraps second set visits potential World Cup hosts,0.0,1.0,0.0,0.0,Neutral
392,Canadian Television Network,Braves look finish Astros Game 5 World Series,0.0,0.674,0.326,0.4404,Positive
393,Canadian Television Network,Trump participates 'Tomahawk chop ' World Series game,0.0,1.0,0.0,0.0,Neutral
394,Canadian Television Network,Ravens LB Malik Harrison struck stray bullet Cleveland,0.222,0.778,0.0,-0.25,Neutral
395,Canadian Television Network,"NHL concludes Bill Peters investigation , Akim Aliu 's lawyer casts doubt",0.2,0.8,0.0,-0.3612,Negative
396,Canadian Television Network,International Handball Federation allow women wear shorts instead 'sexist ' bikini bottoms,0.0,0.84,0.16,0.2263,Neutral
397,Canadian Television Network,Barcelona star Sergio Aguero admitted hospital 'cardiac exam ' chest pain match,0.241,0.657,0.102,-0.4404,Negative
398,Canadian Television Network,"Jerry Remy , Boston Red Sox player broadcaster , dies",0.0,1.0,0.0,0.0,Neutral
399,Canadian Television Network,Crystal Palace soccer player Zaha critical Instagram racism,0.516,0.484,0.0,-0.7506,Negative
400,Canadian Television Network,"NHL commissioner meets Kyle Beach , offers league 's help",0.0,0.748,0.252,0.4019,Positive
401,Canadian Television Network,NHL says discipline Jets GM Kevin Cheveldayoff Blackhawks sexual assault investigation,0.275,0.725,0.0,-0.5859,Negative
402,Canadian Television Network,'Real consequences : ' Former NHL player Georges Laraque needs happen make change league,0.0,1.0,0.0,0.0,Neutral
403,Canadian Television Network,Blackhawks ' sponsorships could take hit without proper response sex assault allegation,0.275,0.725,0.0,-0.5859,Negative
404,Canadian Television Network,Blackhawks ask Hall Fame cover assistant 's name Cup,0.0,0.734,0.266,0.4404,Positive
405,Canadian Television Network,Minnesota man charged hacking MLB trying extort league,0.205,0.795,0.0,-0.2023,Neutral
406,Global News,"Anunoby career-best 36 , Raptors beat Knicks",0.0,1.0,0.0,0.0,Neutral
407,Global News,"Bettman says Kyle Beach claims left ‘ distressed , ’ stands $ 2M Blackhawks fine",0.206,0.662,0.132,-0.25,Neutral
408,Global News,Knicks play Raptors 3-game win streak,0.0,0.392,0.608,0.7351,Positive
409,Global News,Barnes leads Raptors past Pacers,0.0,1.0,0.0,0.0,Neutral
410,Global News,Meet B.C . artist behind UNBC ’ Indigenous athletics logo — first Canada,0.0,1.0,0.0,0.0,Neutral
411,Global News,Kyle Beach offered NHL ’ help meeting league ’ commissioner,0.0,0.722,0.278,0.4019,Positive
412,Global News,Raptors hang 110-109 win Magic,0.0,0.513,0.487,0.5859,Positive
413,Global News,MLS launches independent probe Whitecaps ’ sexual misconduct allegations,0.0,1.0,0.0,0.0,Neutral
414,Global News,Blackhawks owner asks Hall Fame cover Brad Aldrich ’ name Stanley Cup,0.0,0.775,0.225,0.4404,Positive
415,Global News,"Winnipeg Jets GM Cheveldayoff bears responsibility Blackhawks scandal , NHL says",0.244,0.756,0.0,-0.4404,Negative
416,Canadian Broadcasting Corporation,"Bettman apologizes Kyle Beach , defends NHL wake sexual assault allegations",0.266,0.559,0.175,-0.3182,Negative
417,Canadian Broadcasting Corporation,Olympic stock watch : 's 's road Beijing,0.0,1.0,0.0,0.0,Neutral
418,Canadian Broadcasting Corporation,NHL 's apology n't make lack responsibility Chicago scandal,0.24,0.497,0.262,-0.1872,Neutral
419,Canadian Broadcasting Corporation,"Karina LeBlanc named GM NWSL Thorns , reuniting ex-Canadian keeper Sinclair",0.0,1.0,0.0,0.0,Neutral
420,Canadian Broadcasting Corporation,Canada upsets defending champion France Billie Jean King Cup,0.187,0.522,0.291,0.34,Positive
421,Canadian Broadcasting Corporation,"Canucks defenceman Travis Hamonic double vaccinated 'soon , ' says head coach",0.0,0.865,0.135,0.1027,Neutral
422,Canadian Broadcasting Corporation,"NHL concludes Bill Peters investigation , Akim Aliu 's lawyer casts doubt",0.2,0.8,0.0,-0.3612,Negative
423,Canadian Broadcasting Corporation,Anunoby 's career night lifts Raptors past Knicks pick 4th-straight win,0.0,0.725,0.275,0.5859,Positive
424,Canadian Broadcasting Corporation,Kane 's hat trick lifts Chicago convincing 1st win season Senators,0.076,0.51,0.414,0.743,Positive
425,Canadian Broadcasting Corporation,Canadian women hang defeat U.S. 1st rugby test match almost 2 years,0.231,0.769,0.0,-0.4588,Negative
426,Canadian Broadcasting Corporation,Bikini rule changed beach handball Norwegian player protest,0.222,0.778,0.0,-0.25,Neutral
427,Canadian Broadcasting Corporation,Horgan defeats Howard earn final spot Canadian Olympic curling trials,0.204,0.796,0.0,-0.3182,Negative
428,Canadian Broadcasting Corporation,Canadiens ' Cedric Paquette suspended 2 games boarding Trevor Zegras,0.307,0.693,0.0,-0.4767,Negative
429,Canadian Broadcasting Corporation,Elks sign recently acquired quarterback Nick Arbuckle 1-year contract,0.0,1.0,0.0,0.0,Neutral
430,Canadian Broadcasting Corporation,Skate Canada event provides Canadian high performance director 'good takeaways ',0.0,0.756,0.244,0.4404,Positive
431,Canadian Broadcasting Corporation,"Patrick Kane cleared COVID-19 protocol , returns Chicago lineup",0.0,0.833,0.167,0.1027,Neutral
432,Canadian Broadcasting Corporation,Canadian men 's short track relay team wins gold Japan,0.0,0.709,0.291,0.5719,Positive
433,Canadian Broadcasting Corporation,Kyle Beach reportedly meet Chicago NHL team officials Tuesday,0.0,1.0,0.0,0.0,Neutral
434,Canadian Broadcasting Corporation,Canadian Fleming helps lead Chelsea women 's FA Cup final,0.0,0.776,0.224,0.3818,Positive
435,Canadian Broadcasting Corporation,"93-year-old London , Ont. , runner breaks Canadian record , shows signs slowing",0.0,1.0,0.0,0.0,Neutral
436,Fox News,& # 8216 ; Maybe send message coach & # 8217 ; — Mike Pereira Bowling Green & # 8217 ; coach ejection,0.0,1.0,0.0,0.0,Neutral
437,Fox News,Kevin Owens challenges Big E Raw Championship Match,0.0,0.543,0.457,0.4939,Positive
438,Fox News,Astros force Game 7 ? FOX BET LIVE,0.0,1.0,0.0,0.0,Neutral
439,Fox News,Mike Pereira Dean Blandino agree helmet-to-helmet call Jets-Bengals bad | Last Call,0.233,0.6,0.167,-0.25,Neutral
440,Fox News,Mike Pereira : horse collar flag Jameis Winston & # 8217 ; injury right call Last Call,0.189,0.811,0.0,-0.4215,Negative
441,Fox News,Dr. Matt Provencher & # 8217 ; prognosis Derrick Henry & # 8217 ; potential season-ending foot injury NFL FOX,0.177,0.823,0.0,-0.4215,Negative
442,Fox News,& # 8216 ; Jameis Winston & # 8217 ; ACL definitely need reconstructed & # 8217 ; — Dr. Matt Provencher NFL FOX,0.0,0.828,0.172,0.4019,Positive
443,Fox News,Von Wagner & Kyle O'Reilly settle debate Legado Del Fantasma ring,0.0,1.0,0.0,0.0,Neutral
444,Fox News,Clay Travis likes Chiefs cover big number vs. Giants FOX BET LIVE,0.0,0.709,0.291,0.4767,Positive
445,Fox News,Marcellus Wiley explains Baker Mayfield & # 8217 ; lack production hurting Browns SPEAK,0.357,0.643,0.0,-0.6124,Negative
446,Canadian Television Network,"Bettman apologizes Beach , defends NHL wake sexual assault allegations",0.286,0.526,0.188,-0.3182,Negative
447,Canadian Television Network,NHLPA votes investigation union handled Kyle Beach 's allegations,0.0,1.0,0.0,0.0,Neutral
448,Canadian Television Network,Canada stuns holders France Billie Jean King Cup finals kick,0.0,0.891,0.109,0.0258,Neutral
449,Canadian Television Network,FIFA wraps second set visits potential World Cup hosts,0.0,1.0,0.0,0.0,Neutral
450,Canadian Television Network,Braves look finish Astros Game 5 World Series,0.0,0.674,0.326,0.4404,Positive
451,Canadian Television Network,Trump participates 'Tomahawk chop ' World Series game,0.0,1.0,0.0,0.0,Neutral
452,Canadian Television Network,Ravens LB Malik Harrison struck stray bullet Cleveland,0.222,0.778,0.0,-0.25,Neutral
453,Canadian Television Network,"NHL concludes Bill Peters investigation , Akim Aliu 's lawyer casts doubt",0.2,0.8,0.0,-0.3612,Negative
454,Canadian Television Network,International Handball Federation allow women wear shorts instead 'sexist ' bikini bottoms,0.0,0.84,0.16,0.2263,Neutral
455,Canadian Television Network,Barcelona star Sergio Aguero admitted hospital 'cardiac exam ' chest pain match,0.241,0.657,0.102,-0.4404,Negative
456,Canadian Television Network,"Jerry Remy , Boston Red Sox player broadcaster , dies",0.0,1.0,0.0,0.0,Neutral
457,Canadian Television Network,Crystal Palace soccer player Zaha critical Instagram racism,0.516,0.484,0.0,-0.7506,Negative
458,Canadian Television Network,"NHL commissioner meets Kyle Beach , offers league 's help",0.0,0.748,0.252,0.4019,Positive
459,Canadian Television Network,NHL says discipline Jets GM Kevin Cheveldayoff Blackhawks sexual assault investigation,0.275,0.725,0.0,-0.5859,Negative
460,Canadian Television Network,'Real consequences : ' Former NHL player Georges Laraque needs happen make change league,0.0,1.0,0.0,0.0,Neutral
461,Canadian Television Network,Blackhawks ' sponsorships could take hit without proper response sex assault allegation,0.275,0.725,0.0,-0.5859,Negative
462,Canadian Television Network,Blackhawks ask Hall Fame cover assistant 's name Cup,0.0,0.734,0.266,0.4404,Positive
463,Canadian Television Network,Minnesota man charged hacking MLB trying extort league,0.205,0.795,0.0,-0.2023,Neutral
464,Global News,"Anunoby career-best 36 , Raptors beat Knicks",0.0,1.0,0.0,0.0,Neutral
465,Global News,"Bettman says Kyle Beach claims left ‘ distressed , ’ stands $ 2M Blackhawks fine",0.206,0.662,0.132,-0.25,Neutral
466,Global News,Knicks play Raptors 3-game win streak,0.0,0.392,0.608,0.7351,Positive
467,Global News,Barnes leads Raptors past Pacers,0.0,1.0,0.0,0.0,Neutral
468,Global News,Meet B.C . artist behind UNBC ’ Indigenous athletics logo — first Canada,0.0,1.0,0.0,0.0,Neutral
469,Global News,Kyle Beach offered NHL ’ help meeting league ’ commissioner,0.0,0.722,0.278,0.4019,Positive
470,Global News,Raptors hang 110-109 win Magic,0.0,0.513,0.487,0.5859,Positive
471,Global News,MLS launches independent probe Whitecaps ’ sexual misconduct allegations,0.0,1.0,0.0,0.0,Neutral
472,Global News,Blackhawks owner asks Hall Fame cover Brad Aldrich ’ name Stanley Cup,0.0,0.775,0.225,0.4404,Positive
473,Global News,"Winnipeg Jets GM Cheveldayoff bears responsibility Blackhawks scandal , NHL says",0.244,0.756,0.0,-0.4404,Negative
474,Canadian Broadcasting Corporation,"Bettman apologizes Kyle Beach , defends NHL wake sexual assault allegations",0.266,0.559,0.175,-0.3182,Negative
475,Canadian Broadcasting Corporation,Olympic stock watch : 's 's road Beijing,0.0,1.0,0.0,0.0,Neutral
476,Canadian Broadcasting Corporation,NHL 's apology n't make lack responsibility Chicago scandal,0.24,0.497,0.262,-0.1872,Neutral
477,Canadian Broadcasting Corporation,"Karina LeBlanc named GM NWSL Thorns , reuniting ex-Canadian keeper Sinclair",0.0,1.0,0.0,0.0,Neutral
478,Canadian Broadcasting Corporation,Canada upsets defending champion France Billie Jean King Cup,0.187,0.522,0.291,0.34,Positive
